No,PO number,Po Date,PO Name,Supplier,Total,Cur.
2492,RFPO-3550-V4256-1,23 Dec 2019,PO for REBARS and BINDING WIRES ,GODAWARI STEEL PVT. LTD.,4137154.23,NPR
2493,RFPO-3427-E6800-1,23 Dec 2019,Master Distribution Panel Board,INDUSTRIAL ELECTRICAL PROJECTS CO.,370,KWD
2494,RFPO-3550-V4257-1,23 Dec 2019,PO for Admixture Superflow,Additives &amp; Allied Industries,85428,NPR
2495,PO-1005-E7005-2,23 Dec 2019,PO for 1000 KVA Pad Mounted Transformer-3 Phase,United Transformers Electric Company,28500,USD
2496,RFPO-3427-O1-1,17 Dec 2019,PO for Dell Latitude E5450(used): Rs.43000 with VAT Intel Core i5 5th Gen/ 4GB RAM/ 500GB HDD/ 14&quot; Screen,LOGIX DIGITAL SYSTEMS P. LTD,167490,NPR
2497,RFPO-2569-V4256-1,15 Dec 2019,PO for 8 meter Double Leaf Swing Gate,CLIC National Industries General Trading & Contracting Co. K.S.C. (Closed),2750,USD
2498,RFPO-1569-O14-1,10 Dec 2019,PO for Primavera P6 Professional Project Management (Perpetual  License),4i Apps Solutions FZC,8474.12,AED
2499,RFPO-1569-O15-1,10 Dec 2019,PO for Sophos SG230 Renewal,CODEGREEN SYSTEMS,8242.5,AED
2500,RFPO-1192-V4295-1,09 Dec 2019,PO for Slab Without Facing SXXX Density 64kg m3 Thickness 50mm Size 1.2 mtrX.6 mtr,FUJAIRAH ROCKWOOL FACTORY,1874.88,AED
2501,PO-1005-V4470-1,05 Dec 2019,PO for US EMBASSY ANNEX RENOVATION,Metron Construction & Trading W.L.L.,18055.58,QAR
2502,RFPO-3550-V4253-1,03 Dec 2019,"PO for supply, delivery and application of Anti-Termite Treatment",Seven Pro Solutions Pvt. Ltd,450582.2712,NPR
2503,RFPO-3550-V4254-1,03 Dec 2019,PO for SASHI BRICKS,SASHI ITTA UDHYOG,950000,NPR
2504,RFPO-3550-V4255-1,03 Dec 2019,PO for HONGSHI CEMENT & GODAWARI REBAR,KATKUWA SUPPLIERS,8185757.76,NPR
2505,RFPO-1192-V4294-1,28 Nov 2019,"PO for 1. Racking  bays,  each  4500mm  high  x  1000mm  deep  equipped  with  three  pairs  of  beam  levels  decking  with  GI  Panels  of  unit  size  2450mmL x 80mm x 50mm open beam. (Loading Capa",Adventz Racking & Shelving LLC,22400,AED
2506,RFPO-1192-S9032-1,24 Nov 2019,PO for Shifting &amp; Installation:,VEXUS INTERIORS LLC,12800,AED
2507,RFPO-1192-S9033-1,24 Nov 2019,PO for Shifting &amp; Installation:,VEXUS INTERIORS LLC,12800,AED
2508,RFPO-1192-V4293-1,24 Nov 2019,PO for Slab Without Facing (SXXX),FUJAIRAH ROCKWOOL FACTORY,3749.76,AED
2509,RFPO-3550-V4252-1,21 Nov 2019,PO for Cement (OPC) Hongshi Cement,J.M.T. GROUP PVT. LTD.,1260006.05,NPR
2510,RFPO-3550-V4251-1,20 Nov 2019,PO for Supply and Delivery of REBARS,GODAWARI STEEL PVT. LTD.,2571959.695,NPR
2511,RFPO-1192-V4418-1,17 Nov 2019,PO for Inspection Labels Stickers,SMILE COLOR,450,AED
2512,RFPO-1569-V4381-1,06 Nov 2019,PO for Acrylic panel sign production W254 × H203,"Showa Seisaku CO.,LTD.",211.35,USD
2513,RFPO-3550-V4362-1,06 Nov 2019,PO for Supply and Delivery of Mahindra Vehicles,AGNI INCORPORATED PRIVATE LIMITED,1914810,INR
2514,RFPO-1569-O13-1,30 Oct 2019,PO for Desktop HP 290G2 i5 4 gb 1 tb dos,IT Park Computer Trading LLC,4820,AED
2515,RFPO-1192-R1503-1,30 Oct 2019,PO for Monthly Rental of MItsubishi Lancer,Diamondlease LLC,2800,AED
2516,PO-1005-E7013-1,28 Oct 2019,PO for Light Type-C,"GUANGDONG YIBAI OPTOTECH CO., LTD.",5952,USD
2517,PO-1005-M7025-1,24 Oct 2019,PO for Centrifugal Type Exhaust Fan,INTERCOOL CENTRAL AIR CONDITIONING LLC,16220.1,USD
2518,PO-1005-E7009-1,23 Oct 2019,PO for Electric Water Heater- Heavy Duty,RAFCO TRADING CO.,14500,AED
2519,RFPO-3550-V4361-1,22 Oct 2019,PO for Pulsar 150 CHASSIS NO: MD2A11CY2KPE30158,EVEREST INSURANCE COMPANY LTD.,21560.28,NPR
2520,RFPO-3550-O8-1,20 Oct 2019,PO for Dell latitude e5450: Rs.41000 with Vat Intel core i5 / 4gb RAM / 500GB HDD/ 14” screen / windows 7 genuine,LOGIX DIGITAL SYSTEMS P. LTD,205000,NPR
2521,RFPO-3550-V4360-1,15 Oct 2019,PO for Pulsar 150 CC Single Disc Motorbike for MVL Nepal Office,Hansraj Hulaschand and Company Pvt. Ltd,975600,NPR
2522,PO-2623-E6800-1,10 Oct 2019,PO for SMOKE AND HEAT DETECTOR,Multi Options Trading FZE,13440,AED
2523,PO-1005-E7005-1,10 Oct 2019,PO for 1000 KVA Pad Mounted Transformer-3 Phase,PAK ELEKTRON LIMITED,57540,USD
2524,PO-1005-S9046-1,10 Oct 2019,PO for THERMOSTATIC MIXING VALVES,DUTCO TENNANT LLC,11567.4,AED
2525,RFPO-1005-E7015-1,08 Oct 2019,"PO for Approved Lighting Fixtures (G, G2, B)","ZhongShan Halcon Lighting & Electrical Co., Ltd",47728.285,USD
2526,RFPO-1192-V4291-1,08 Oct 2019,PO for SLAB WITHOUT FACING (SXXX),FUJAIRAH ROCKWOOL FACTORY,10313.28,AED
2527,RFPO-3550-V4359-1,30 Sep 2019,PO for Wall Mounted Type (Inverter) Capacity: 1.0 Ton Model No: CU-YE12TKY-B,NAVIN Distributors Pvt. Ltd.,594400,NPR
2528,PO-1005-V4469-1,29 Sep 2019,19QA1019P0519: Order Confirmation against Office Renovation of USACE Chief Office at CAS-2142.1,Metron Construction & Trading W.L.L.,2800,QAR
2529,RFPO-3550-O7-1,26 Sep 2019,PO for 6U RACK WALL MOUNTABLE,B.R.IMPEX TRADE LINK,37800,NPR
2530,RFPO-3550-V4358-1,17 Sep 2019,PO for Bajaj Pulsar 150 cc 2019,Everest Insurance Company Ltd.,26950.35,NPR
2531,RFPO-1569-V4380-1,16 Sep 2019,PO for Plan Swift 10.2,Green Figure Technique,6400,AED
2532,RFPO-3550-R1502-1,15 Sep 2019,PO for 1 MONTH RENTAL OF 2 UNITS TOYOTA HILUX WITH AC. MODEL 2009-2010,Sahas International Travel & Tours P. Ltd,370000,NPR
2533,PO-1005-E7006-1,10 Sep 2019,PO for VERSALITE IP-65 emergency lighting armature,ARSEL ELEKTRONİK SİST.SAN TİC LTD ŞTİ,798,USD
2534,PO-1005-V7000-1,09 Sep 2019,THEATER SEATING,"Chongqing JUYI Industry Co., Ltd.",9500,USD
2535,RFPO-2569-V4255-1,08 Sep 2019,PO for Galvanized and PVC Coated Tension Wire,CLIC National Industries General Trading & Contracting Co. K.S.C. (Closed),135,KWD
2536,RFPO-2569-V4252-2,08 Sep 2019,PO for 8 meter double leaf swing gate,CLIC National Industries General Trading & Contracting Co. K.S.C. (Closed),8250,USD
2537,RFPO-3550-V4356-1,05 Sep 2019,PO for Pulsar 150 CC Single Disc Motorbike for MVL Nepal Office,Hansraj Hulaschand and Company Pvt. Ltd,1219500,NPR
2538,PO-1005-V7002-1,04 Sep 2019,"PO for 2"" Back Flow Preventer(50mm)",OMAR FAROOQ TRADING COMPANY,33408.6,USD
2539,RFPO-3550-O6-1,03 Sep 2019,PO for MI Redmi7A   Moble Handset for CDM Consultant,Bigbyte IT World Pvt. Ltd.,71994,NPR
2540,PO-1005-F7061-1,03 Sep 2019,PO for FIRESTOP BARRIER CAULK 600ML SAUSAGE,MVL Firestop Bldg. Matl Trdg. LLC,9000,AED
2541,RFPO-3550-R1501-1,02 Sep 2019,PO for Rental of Double Cabin Scorpio Pick Up Truck for 3 months with driver,Sahas International Travel & Tours P. Ltd,525000,NPR
2542,RFPO-3550-V4354-1,02 Sep 2019,PO for For Networking: Pro-Link Cable (Cat-6),B.R.IMPEX TRADE LINK,122379,NPR
2543,RFPO-3550-O5-1,02 Sep 2019,PO for Supply and Delivery of IT Equipment for CDM Consultant,LOGIX DIGITAL SYSTEMS P. LTD,522940,NPR
2544,RFPO-3550-V4355-1,02 Sep 2019,PO for Canon Digital Camera iXUS 185 with 16GB Memory and Camera Bag,G.A. Builders Private Limited,76275,NPR
2545,RFPO-3550-O3-1,28 Aug 2019,PO for Asustor AS3102T WITH 1 YR WARRANTY,Bigbyte IT World Pvt. Ltd.,315100,NPR
2546,RFPO-3550-V4353-1,28 Aug 2019,PO for Furnitures and Various Materials,G.A. Builders Private Limited,2056792.1,NPR
2547,RFPO-3550-M4101-1,28 Aug 2019,PO for Supply Deliver Installation Testing and Commisioning of of 12.5 kva Mahindra Powerol Diesel Generator ( Silent) Model no 2185GM-C2,Power Solution Twenty Four Seven Pvt .Ltd,555365.48,NPR
2548,RFPO-3550-V4351-1,27 Aug 2019,PO for VARIOUS APPLIANCES,NAVIN Distributors Pvt. Ltd.,243100,NPR
2549,RFPO-3550-O2-1,27 Aug 2019,PO for LAPTOPS COMPUTER AND ACCESSORIES LOGIX,LOGIX DIGITAL SYSTEMS P. LTD,470440,NPR
2550,RFPO-3550-V4352-1,27 Aug 2019,PO for SAFETY ITEMS,Nepal Fire and Safety Solutions Pvt. Ltd.,19379.5,NPR
2551,RFPO-2569-V4254-1,22 Aug 2019,PO for Supply of Galvanised + PVC coated Tie Wire,CLIC National Industries General Trading & Contracting Co. K.S.C. (Closed),635.5,KWD
2552,RFPO-2394-M4101-1,21 Aug 2019,PO for Multi  Wall split mounted type air conditioner. Model KMWSM-42R410AHODU,"SHENZHEN KANION TECHNOLOGY CO., LIMITED",24948,USD
2553,RFPO-1192-V4417-1,20 Aug 2019,PO for DRI FIT SHIRTS  WITH TWO LOGOS,Al Diyafa Tailoring Co. LLC,2496,AED
2554,RFPO-3550-R1500-1,19 Aug 2019,PO for Vehicle Rental Scorpio latest model ( 2018) August 19 to August 21),Sahas International Travel & Tours P. Ltd,24600,NPR
2555,PO-1005-E7004-1,06 Aug 2019,PO for Street Approved LED Street Lighting Fixtures,"SUZHOU WISTA LIGHTING TECHNOLOGY CO., LTD.",4723,USD
2556,RFPO-3427-V4252-1,01 Aug 2019,PO for Precast Concrete Barriers,Real Estate Construction & Fabrication Co. S.A.K. (Closed),23321,KWD
2557,PO-1005-A5208-1,31 Jul 2019,PO for Door Replacement,Metron Construction & Trading W.L.L.,8500,QAR
2558,RFPO-1192-R1502-1,28 Jul 2019,PO for Monthly Rental Mitsubishi Lancer 1.6 EX HL- Dubai Plate,Diamondlease LLC,1400,AED
2559,RFPO-3427-V4251-1,22 Jul 2019,PO for JERSEY AND TEXAS BARRIER,HIGH SLANT PRECAST FACTORY,12290,KWD
2560,PO-1005-V4466-2,18 Jul 2019,"PO for Maintenance of SKM 3 Packaged Units (June 17-Dec 16, 2019",Metron Construction & Trading W.L.L.,79000,QAR
2561,PO-1005-M4029-1,17 Jul 2019,PO for 4000 KG Kone Transys Elevator,KHAN CONSTRUCTION CO. (KCC),150880,USD
2562,RFPO-2797-V4351-1,16 Jul 2019,PO for INFRARED THERMOMETER.,HIGHTECH INSTRUMENTS TRADING CO. W.L.L.,345,KWD
2563,RFPO-1428-V4353-1,16 Jul 2019,PO for THIRD PARTY INSPECTION,BUREAU VERITAS DUBAI,280,USD
2564,PO-1005-E7007-1,14 Jul 2019,PO for Guard Tower Searchlight,DEN HAAN ROTTERDAM,5791.8,EURO
2565,RFPO-2569-V4252-1,11 Jul 2019,PO for 8 meter double leaf swing gate,CLIC National Industries General Trading & Contracting Co. K.S.C. (Closed),2750,USD
2566,RFPO-2394-T1001-1,08 Jul 2019,PO for ALTAIR Multigas Detector. Model 4XR.,GASOS,2800,AED
2567,RFPO-3473-S9071-1,27 Jun 2019,PO for MHE Service - Semi truck and lowboy trailer with operator (fuel included).,Massida Solutions PLC,74905,USD
2568,RFPO-1192-V4289-1,27 Jun 2019,PO for ACMI - Full Height Cabinet with Swing Doors in Maple Finish,BLUE CROWN FURNITURE (LLC),1300,AED
2569,PO-1005-M4028-1,24 Jun 2019,PO for Fire Hydrant and Post Indicator Valves,"Shanghai Iron Man Fire Fighting Equipment CO.,Ltd.",10010,USD
2570,PO-1005-V4466-1,17 Jun 2019,"PO for Maintenance of SKM 3 Packaged Units (June 17-Dec 16, 2019",Metron Construction & Trading W.L.L.,39500,QAR
2571,RFPO-1192-S9031-1,17 Jun 2019,PO for Pre-Approval and Post-Approval,VEXUS INTERIORS LLC,28800,AED
2572,PO-1428-M4101-2,17 Jun 2019,"PO for Supply of 2 stage Separator Internals - EBS Project, IRAQ MW-OCS Ref: 7794, Rev.1",FINEPAC STRUCTURES PVT. LTD,25800.2,USD
2573,PO-2394-V4251-1,17 Jun 2019,PO for Supply of PVC Fittings,CHARLOTTE PIPE AND FOUNDRY COMPANY,7977.06995,USD
2574,PO-1428-M4102-1,13 Jun 2019,"PO for Supply of 2 Stage Separator Internals - Garraf Project, IRAQ MW-OCS Ref 7795 Rev. 0",FINEPAC STRUCTURES PVT. LTD,2420,USD
2575,RFPO-1192-V4413-1,10 Jun 2019,PO for LONG SLEEVES WHITE SMALL,Al Diyafa Tailoring Co. LLC,4134,AED
2576,RFPO-1192-V4412-1,09 Jun 2019,PO for DELIVERY NOTES (BOOK NO. 11 DELIVERY NOTE NO.7501) 25 BOOKS A4 (50 pages per book 1+3),King Printers Co. Ltd. Dubai Branch,850,AED
2577,RFPO-1192-V4407-1,22 May 2019,PO for Receipt Voucher A5 Size 1+3 copy 50 set in a book 4 color,ALAM ALIBDAA,600,AED
2578,RFPO-1192-V4408-1,22 May 2019,PO for MVL Firestop New Catalogue (44 pages),King Printers Co. Ltd. Dubai Branch,8142.86,AED
2579,RFPO-1192-V4409-1,22 May 2019,PO for Receipt Voucher A5 Size 1+3 copy 50 set in a book 4 color,King Printers Co. Ltd. Dubai Branch,615,AED
2580,PO-1428-M4101-1,21 May 2019,"PO for Supply of 2 stage Separator Internals - EBS Project, IRAQ MW-OCS Ref: 7794, Rev.1",FINEPAC STRUCTURES PVT. LTD,23380,USD
2581,RFPO-1569-V4379-1,21 May 2019,"PO for SERVICE CONTRACT – 2years/ 40,000kms (50,000km to 80,000km) DXB F62428",AL ROSTAMANI TRADING COMPANY,3215,AED
2582,RFPO-1192-V4288-1,19 May 2019,PO for BACKER ROD 30MMX100M/ROLL,Al Sughra Building Materials Trading LLC,3600,AED
2583,RFPO-1192-F9599A-1,15 May 2019,PO for SLEEVE ANCHOR ANTISPIN - TAMPERPROOF,"TECNICAS EXPANSIVAS, S.L.",345.108,EURO
2584,PO-1005-E7002-1,15 May 2019,PO for A.O. Smith Electrical Water Heate,SHABIR AHMAD LTD,55050,USD
2585,PO-1005-E7000-1,13 May 2019,"PO for Electric Heater, Wall Hung, Convection Type",GLEN DIMPLEX IRELAND,1052.28,GBP
2586,RFPO-1192-F9599-1,13 May 2019,PO for SLEEVE ANCHOR ANTISPIN - TAMPERPROOF,"TECNICAS EXPANSIVAS, S.L.",345.108,EURO
2587,PO-1005-M7019-1,08 May 2019,PO for Additional Cooling system x 2 office Space,Metron Construction & Trading W.L.L.,14500,QAR
2588,RFPO-1192-F9586-1,07 May 2019,PO for SUPPLY OF VARIOUS ACHOR BOLTS AS PER INVOICE 15.336,"TECNICAS EXPANSIVAS, S.L.",25161.47,EURO
2589,RFPO-1192-V4287-1,30 Apr 2019,PO for ROCKWOOL INSULATION MATERIAL,FUJAIRAH ROCKWOOL FACTORY,34181.44,AED
2590,RFPO-1192-V4406-1,29 Apr 2019,PO for SUPPLY INSTALLATION AND CONFIGURATION OF CCTV CAMERAS IN DIP WAREHOUSE,e Mind Technologies LLC,1710,AED
2591,RFPO-1569-R1500-1,02 Apr 2019,PO for Konica MInolta Bizhub C452 Monthly Rental,Limpex Trading LLC,975,AED
2592,RFPO-1569-V4378-1,01 Apr 2019,"PO for SERVICE CONTRACT – 2years/ 40,000kms (50,000km to 80,000km) DXBF062427",AL ROSTAMANI TRADING COMPANY,3215,AED
2593,RFPO-1192-R1501-1,31 Mar 2019,PO for Montly Rental (6 Units) Mitsubshi Lancer 1.6 EX HL – Dubai Plate,Diamondlease LLC,8400,AED
2594,RFPO-2952-V4251A-1,24 Mar 2019,PO for Leviton High Bay LED Light ,FireFlow Technical Services & Trading Co. WLL,198834,USD
2595,RFPO-1192-R1500-1,20 Mar 2019,PO for Montly Rental Mitsubshi Lancer 1.6 EX HL – Dubai Plate (Arun Stephen),Diamondlease LLC,1400,AED
2596,RFPO-1569-O12-1,14 Mar 2019,PO for AZURE DATA STORAGE  - EAST US DATA CENTER,Burhani Computers Trading LLC,3588,AED
2597,RFPO-1569-V4377-1,13 Mar 2019,PO for SUPPLY OF MVL BROCHURES WITH UV SPOT,King Printers Co. Ltd. Dubai Branch,2238.1,AED
2598,RFPO-2951-V4252-1,11 Mar 2019,PO for ANTI BIRD NET. HDPE MATERIAL; MESH SIZE: 15MM X 15MM; 6M*30m*8 ROLLS AND 6M*34M*96ROLLS.,"Kingertai Industrial Co., Limited",5839.6,USD
2599,RFPO-1192-F9439-1,06 Mar 2019,PO for FIRE EXTINGUISHER 5KG CO2,Safety Way FIRE & SAFETY EQUIPMENT,700,AED
2600,RFPO-2555-M4106-1,28 Feb 2019,"PO for Duplex pump set for chilled water circulation  Flow Rate  24 m3/Hr Head Max 22 meter   Model : BP 4 (Horizontal End Suction  pump)  ELECTRICAL DATA: 1.1 KW, 50 hz/ 1 PHASE 1 Protection Degree I",ALPHATECH ENGINEERING SERVICES & TRADING CO.,62000,QAR
2601,RFPO-1569-O11-1,28 Feb 2019,PO for Manufacturer: ESET Part No.:  Item Name: ESET Endpoint Protection Advanced Item Description: ESET Endpoint Protection Advanced Renewal for a year,Burhani Computers Trading LLC,3307.5,AED
2602,RFPO-1569-V4376-1,19 Feb 2019,PO for Customized Fleece Hoodies Black Color.  (Pullover and Zipped),The Uniform World Tailoring and Textiles LLC,4085,AED
2603,RFPO-1192-V4405-1,19 Feb 2019,PO for STICKER SIZE A4 (6 PC) WITH CUTTING,ALAM ALIBDAA,644.875,AED
2604,RFPO-1192-V4286-1,18 Feb 2019,PO for SLAB WITHOUT FACING (SXXX),FUJAIRAH ROCKWOOL FACTORY,15506.5248,AED
2605,RFPO-1192-V4404-1,30 Jan 2019,PO for Supply of Delivery Note A4 Size 1+3copy 50 set in book CMYK color 10 BOOKS,ALAM ALIBDAA,900,AED
2606,RFPO-1192-V4285-1,28 Jan 2019,PO for Rockwool Slab Unfaced Thk: 50mm Density: 160kg/m3 Size: 1.2m*.6 mtr 1bag=4 slabs,Thermal INSULATION CONT. L.L.C,5400,AED
2607,RFPO-2953-E6801-1,20 Jan 2019,"PO for LED STREET LIGHT 100W, UL, CE CERTIFIED","SUZHOU WISTA LIGHTING TECHNOLOGY CO., LTD.",5568,USD
2608,RFPO-2953-E6800-1,07 Jan 2019,"PO for LED STREET LIGHT 100W, UL, CE CERTIFIED","HK YIBAI ELECTRONICS TECHNOLOGY CO., LIMITED",274,USD
2609,RFPO-1192-V4403-1,03 Jan 2019,PO for POLO T SHIRT DRI FIT WITH TWO LOGO,Al Diyafa Tailoring Co. LLC,275,AED
2610,RFPO-1592-V4254-1,18 Dec 2018,PO for Push Button Lock Lever With Key Override (Best),Taylor Security & Lock Co. Inc.,3888,USD
2611,RFPO-1192-V4284-1,10 Dec 2018,PO forSLAB WITHOUT FACING (SXXX) Density 120Kg M3 Thickness 50mm Size 1.2 MtrX 0.6 Mtr,FUJAIRAH ROCKWOOL FACTORY,4114.2816,AED
2612,RFPO-2569-V4352-1,09 Dec 2018,PO for 5000 KM ODO,MASEELAH TRADING CO. S.P.C.,281.5,KWD
2613,RFPO-1005-V4465-1,26 Nov 2018,PO for SAMPLE METAL HAT BADGES FOR UN AFRICA,AL ASHRAFI TRADING L.L.C,1150,AED
2614,RFPO-1192-V4283-1,12 Nov 2018,PO for Scraper 2&quot; China,Rubaiya Zueaid Bldg. Mat. Co. LLC,850.5,AED
2615,RFPO-1581-V4254-1,11 Nov 2018,PO for MANUFACTURING NEW FIRE RATED  PORTACABIN  SIZE 1.5  X 1.5  MTR  WITH TRANSPORTATION,OneZone International Trading & Contracting W.L.L.,7000,QAR
2616,RFPO-1569-O10-1,11 Nov 2018,PO for MVL IT INFRASTRUCTURE UPGRADE,intelligent business technologies,40700,AED
2617,RFPO-2555-M4104-1,08 Nov 2018,PO for CIRCULATING PUMPS CONTROL PANEL (1D+1S),Gazzaoui & Partners - Qatar W.L.L.,24000,QAR
2618,RFPO-1192-V4282-1,06 Nov 2018,PO for SLAB WITHOUT FACING (SXXX),FUJAIRAH ROCKWOOL FACTORY,4114.2816,AED
2619,RFPO-2569-V4251-1,06 Nov 2018,PO for Supply & Delivery of Chain Link Fence Material & Gates for Camp Arifjan New Perimeter Security Fence,CLIC National Industries General Trading & Contracting Co. K.S.C. (Closed),960000,USD
2620,RFPO-2569-V4351-1,04 Nov 2018,PO for Mitsubishi L200 Model 2018 Stock No: 556,MASEELAH TRADING CO. S.P.C.,5704,KWD
2621,RFPO-1569-V4374-1,04 Nov 2018,"PO for Polished optic crystal cut out,  &quot;Customized model&quot;, 12mm x  175mm x 200mm, with UV  printing from back of &quot;MVL and  Awardees&#39; logo&quot; texts and  designs (as per client&#3",PRECISE Trading (L.L.C),6965,AED
2622,PO-1005-V6997-1,31 Oct 2018,PO for Repair & Maintenance charges,Cecilia Moises Solangon Logistics Services,600,USD
2623,PO-1005-V4463-1,31 Oct 2018,PO for Complete Maintenance of Theater Seating System-SGE50016M0296,Cecilia Moises Solangon Logistics Services,300,USD
2624,RFPO-1569-O9-1,30 Oct 2018,PO for USG-PRO-4 UNIFI SECURITY GATEWAY,HIGH SPEED COMPUTER TRADING L.L.C,1075,AED
2625,RFPO-2555-V4253-1,14 Oct 2018,PO for PEGLER VALVES,SALCO TRADING & CONTRACTING EST.,15327.2,QAR
2626,RFPO-2555-V4252-1,11 Oct 2018,PO for ROTOMOULD 1000 US GALS VERTICAL TYPE,AL MUFTAH POLYMER W.L.L.,8000,QAR
2627,RFPO-2890-V4251-1,10 Oct 2018,Supply and Delivery of Precast Alaska Barrier,Union Precast Factory Qatar LLC,1168000,QAR
2628,PO-1005-V4460-1,09 Oct 2018,PO for Supply and Installation of 40ft Modified Container (Used Shipping Container),OneZone International Trading & Contracting W.L.L.,31050,QAR
2629,RFPO-2555-M4103-1,07 Oct 2018,PO for XYLEM LOWARA END SUCTION PUMP. SAME AS SUPPLIER BEFORE,Gazzaoui & Partners - Qatar W.L.L.,32800,QAR
2630,RFPO-2569-O2-1,03 Oct 2018,PO for HP ColorLaserJet Professional CP5225nA3/A4 Printer,Aryan InfoTech Computer Equipment Est,360,KWD
2631,RFPO-1581-M4107-1,02 Oct 2018,Purchase Order for Variable Frequency Controller,Franklin Fueling Systems GmbH,4408.4,USD
2632,RFPO-2569-O1-1,02 Oct 2018,"PO for DellInspiron 15-5570  Laptop Intel Corei7-8550U (1.80 GHz, 8MB Cache) Processor,  8 GB DDR4 RAM ,  1 TBSATA HDD,  AMD Radeon 530 4GBGPU,  15.6Inch FHD Anti-Glare LED-Backlit Display, DOS,",Aryan InfoTech Computer Equipment Est,823,KWD
2633,RFPO-1569-O8-1,26 Sep 2018,PO for Ubiquiti Networks UVC-G3-DOME 1080p FHD H.264 IP Dome Surveillance With POE,NEPTUNE COMPUTERS,800,AED
2634,RFPO-1192-V4401-1,23 Sep 2018,PO for Toyota Yaris Sedan,National Rent-- Car (LLC),1450,AED
2635,RFPO-1592-S9087-1,19 Sep 2018,"PO for 1.	24 hrs. Utility services for 3x 40’ LSA’s Conex’s including",Yashel Yapraq Construction Company,3000,USD
2636,RFPO-1192-V4400-1,18 Sep 2018,PO for Toyota Yaris Sedan,National Rent-- Car (LLC),1400,AED
2637,RFPO-2532-E6801-2,16 Sep 2018,PO for AUTOMATIC TRANSFER SWITCH 400A  3PHASE 50HZ 4 POLE ATS 415V,Al Farraj Trading & Manufacturing,10245.9,QAR
2638,RFPO-982-A5202-1,11 Sep 2018,PO for Master Keys,UNIVERSAL INTERNATIONAL FZCO,7733.3,AED
2639,RFPO-982-A5201A-1,11 Sep 2018,PO for STEEL DOORS,Vulcan Industries LLC,175925,AED
2640,RFPO-1581-M4106-1,09 Sep 2018,PO for supply of Power Supply Module for EVO TS 5000,DELMA INDUSTRIAL SUPPLY LLC,4780,AED
2641,RFPO-1192-V4399-1,09 Sep 2018,PO for Toyota Yaris Sedan 2017 Monthly Rental,National Rent-- Car (LLC),1450,AED
2642,RFPO-2532-E6801-1,04 Sep 2018,PO for AUTOMATIC TRANSFER SWITCH 400A  3PHASE 50HZ 4 POLE ATS 415V,Al Farraj Trading & Manufacturing,9506,QAR
2643,RFPO-1192-V4398-1,03 Sep 2018,PO for Supply of Business Card Mr. Karim,ALAM ALIBDAA,200,AED
2644,RFPO-1192-V4397-1,16 Aug 2018,PO for LAPOLLA A ISCCYANATE STICKERS,ALAM ALIBDAA,360,AED
2645,RFPO-1192-V4281-1,16 Aug 2018,PO for Backer Rod 20mm,Al Sughra Building Materials Trading LLC,1500,AED
2646,RFPO-2394-V4351-1,16 Aug 2018,PO for Rental of Explosive Detection Dogs (K9) for the month of September. 2 Nos,Trust Demining Company,3600,USD
2647,RFPO-1581-M4105-1,15 Aug 2018,PO for Supply of Power Supply Module for EVO console,DELMA INDUSTRIAL SUPPLY LLC,1300,AED
2648,RFPO-1192-V4280-1,14 Aug 2018,PO for BACKER ROD 30MM,Al Sughra Building Materials Trading LLC,360,AED
2649,RFPO-1192-V4396-1,13 Aug 2018,PO for Plan Swift 10.2 Take Off Software,Green Field Trading,5850,AED
2650,PO-1005-S9043-4,12 Aug 2018,PO for Various Materials,Bright Way International W.L.L.,7426,QAR
2651,PO-1005-S9043-3,09 Aug 2018,Concrete Mixer,"WUYI JISHUN TOOLS CO.,LTD",200,USD
2652,PO-1005-S9043-1,08 Aug 2018,PO for MORTAR AND CONCRETE MIX,QATAR PLASTER FACTORY LLC,11535,QAR
2653,PO-1005-S9043-2,08 Aug 2018,PO for Hollow Blocks,ALRAYYAN Ready Mix Concrete & Cement Products W.L.L.,11520,QAR
2654,RFPO-1569-O7-1,07 Aug 2018,"PO for HP 280 MT G2  Intel Core i5-6600 3.3 GHz with Intel UHD Graphics 630, 8GB RAM, 1TB 7200 rpm SATA, Slim DVD-Writer, 2GB Graphic Card,HP USB Keyboard & Mouse, Win10Pro, 1 Year Warranty",TECHTRADE MIDDLE EAST,3960,AED
2655,RFPO-1005-A5204-2,07 Aug 2018,PO for CONTROL KEY,Taylor Security & Lock Co. Inc.,214,USD
2656,RFPO-1192-C6108-1,05 Aug 2018,PO for Elastospray 1611/17,BASF Kanoo Polyurethanes LLC,185180,AED
2657,RFPO-1192-V4279-1,30 Jul 2018,PO for SLAB WITHOUT FACING (SXXX),FUJAIRAH ROCKWOOL FACTORY,4114.2816,AED
2658,RFPO-1192-O6-1,25 Jul 2018,"PO for HP ProDesk 400 G4 MT Intel Core i7-7700 with Intel HD Graphics 630 (3.6 GHz, 8 MB cache, 4 cores),16GB RAM / 1TB SATA / 9.5mm DVD-Writer / NVIDIA GT730 4GB Graphics Card / HP USB Keyboard and M",TECHTRADE MIDDLE EAST,7580,AED
2659,RFPO-1192-O5-1,24 Jul 2018,PO for F1H97A HP DeskJet Ink Advantage 4675 All in One Printer,TECHTRADE MIDDLE EAST,4000,AED
